Id,PostId,RelatedPostId,LinkTypeId
418913,30989,24534,1
419215,30559,6380,1
419459,31212,31175,1
419460,31211,27964,1
420096,29520,31243,1
420761,30810,6107,1
421087,31298,19112,1
421149,31289,30370,1
421150,31289,29725,1
421664,31349,22853,1
421965,31377,19140,1
422110,31349,22853,3
422284,29520,14187,1
422425,31408,16361,1
422585,10522,812,1
423004,31452,29719,1
423235,29520,13490,1
424274,31543,17099,1
426221,31636,28537,1
426412,31622,14899,1
426616,31622,14899,3
426812,31685,31382,1
427091,28383,30859,1
427259,31707,27671,1
427427,30676,31725,1
427455,31725,30676,1
427780,31725,30676,3
428148,31725,31745,1
442457,22002,26959,1
442458,22002,31292,1
442515,31880,31274,1
442812,31891,28840,1
442813,31891,27795,1
442978,31874,30762,1
443206,31940,14899,1
443971,29470,28504,1
444206,32014,422,1
444554,31991,9302,1
444569,32001,25407,1
445005,25994,24081,1
445030,32066,30676,1
445031,32066,27506,1
445460,32031,32023,1
446794,32187,27615,1
447078,32205,27135,1
447123,31880,31274,3
447436,32221,31989,1
447661,31920,31815,1
447835,32232,26449,1
448178,32263,16347,1
448570,32289,30032,1
448571,32289,27807,1
448572,32289,310,1
448797,30978,32255,1
449275,32336,29908,1
449778,32254,28383,1
450176,32072,16807,1
450832,28548,9364,1
451290,32232,26449,3
451962,32541,13490,1
451979,32543,326,1
454687,32729,32685,1
454766,32725,810,1
455094,32752,30850,1
455861,32743,19630,1
455867,32796,9406,1
456318,32694,15903,1
456319,32694,26597,1
456336,32752,26597,1
456863,32864,32822,1
457284,32884,26103,1
457432,32423,32873,1
458330,32941,31923,1
459104,32927,32941,1
459525,33043,11928,1
459991,33079,32572,1
460016,33081,33002,1
461234,33201,33117,1
461336,31715,32126,1
462303,25036,33265,1
462318,24929,33265,1
462890,32622,32129,1
463550,33338,33316,1
464478,33419,11747,1
464821,33442,27277,1
465075,33459,33286,1
465336,33478,10469,1
465464,33486,33435,1
465770,33505,31444,1
466737,33554,28353,1
467037,31288,31402,1
467102,33573,20573,1
467650,33501,33599,1
467927,33593,33582,1
468092,33644,20076,1
468844,22335,33524,1
468845,17510,33493,1
469849,33559,27628,1
469850,33559,28997,1
471375,33817,26290,1
471376,33817,27262,1
472454,16494,33916,1
472466,33939,10523,1
472575,12132,33916,1
472760,33974,16646,1
473254,33962,34029,1
473289,34024,5226,1
473334,34038,16800,1
473355,16800,34038,1
473843,28932,29266,1
473936,34101,29480,1
473947,34100,25745,1
474017,34088,27055,1
474453,34134,26597,1
474504,34116,155,1
474618,34134,18802,1
474619,34134,23287,1
474620,34134,21896,1
474657,34006,32831,1
474658,34006,33831,1
474664,34159,893,1
474783,34165,34007,1
475002,34182,16993,1
475269,34206,10471,1
475271,34206,10471,3
475507,34233,30762,1
476068,34209,19882,1
476139,26597,34174,1
476387,34326,17759,1
476437,34330,19099,1
477133,34399,736,1
477358,34405,34346,1
479149,33644,34356,1
479321,35496,32669,1
479680,35526,33587,1
480089,35531,27563,1
480090,35531,27533,1
480396,34233,34151,1
480644,35645,5990,1
480687,35605,13279,1
484866,35713,24072,1
485575,35781,27709,1
485576,35781,23291,1
485577,35781,33305,1
485616,35784,21722,1
486114,35821,6744,1
486239,35826,29863,1
486525,35836,29507,1
486575,35835,27715,1
487235,35878,35595,1
488445,35962,35864,1
488730,35970,35913,1
489916,36046,28006,1
490651,36070,36100,1
490666,36046,28006,3
492233,36147,25745,1
493414,33817,26401,1
493588,36275,22545,1
494577,36198,8390,1
494902,36388,10997,1
495108,36403,36346,1
495849,36453,17024,1
495873,36447,662,1
497104,36485,35826,1
498546,36604,6694,1
499097,36636,18664,1
499481,36656,29055,1
500311,36707,31725,1
500312,36707,30676,1
500313,36707,28719,1
500314,36707,28691,1
500315,36707,26874,1
500316,36707,27506,1
500317,36707,26539,1
500583,36703,18647,1
500921,36404,36634,1
502058,36817,11014,1
502249,36814,28681,1
502812,36862,15989,1
503041,36879,11699,1
503506,16843,27909,1
504035,36945,6255,1
504240,36953,36049,1
504408,36968,893,1
505179,37007,36959,1
505512,36959,37007,1
505534,36959,37007,3
506143,37027,37081,1
506314,37090,16463,1
507522,36953,36049,3
507523,36656,29055,3
507830,36482,33979,1
507859,37164,16350,1
507930,37165,12532,1
508618,17388,18647,1
508644,17388,36703,1
508714,33265,37220,1
508885,37234,36564,1
509428,37259,34276,1
509627,37281,15242,1
509693,37273,22740,1
509869,16088,12500,1
509994,37314,5706,1
510182,37302,28331,1
510392,37337,893,1
510393,37337,12554,1
510580,37355,20392,1
510851,37362,37021,1
510933,37374,6107,1
511889,37413,30973,1
513573,37504,640,1
513748,37513,37363,1
514159,37493,37542,1
514490,37545,36064,1
514889,37545,11589,1
514937,37600,25362,1
515802,37643,37633,1
516256,37687,27132,1
516492,37704,37604,1
516843,37741,24494,1
516976,37751,27563,1
517152,37741,24494,3
517901,37835,37021,1
518119,37856,31665,1
518824,37926,34074,1
519207,37957,26714,1
519278,37968,37914,1
519597,37990,26597,1
519781,37988,24511,1
519813,38014,37914,1
520063,38019,17099,1
520235,38054,155,1
520375,38072,20208,1
520691,38069,23666,1
520845,37856,27898,1
521588,38143,19365,1
521903,38191,38121,1
522120,38072,5443,1
522233,23119,38231,1
522430,32829,38242,1
522517,38272,15903,1
522626,38237,28411,1
522876,38295,37914,1
527135,38362,30762,1
527269,38392,38328,1
527281,38328,38392,1
527705,37518,20535,1
527850,38404,38305,1
528273,28285,16342,1
528377,38481,24339,1
528760,38517,28383,1
529334,38534,23932,1
529586,38584,37914,1
529975,38611,29798,1
530044,38614,26597,1
530480,38634,26403,1
531214,38674,26597,1
531282,38676,26597,1
531283,38677,26597,1
531465,38682,30396,1
531556,38692,27628,1
531557,38692,33559,1
531957,38728,10449,1
532499,38752,38328,1
533086,38676,26597,3
533087,38611,29798,3
533088,38752,38328,3
533201,38796,38795,1
534430,38881,13061,1
535359,38937,29463,1
536373,38973,29006,1
536823,39004,38909,1
537096,13277,18339,1
537279,16140,39064,1
537290,39004,38909,3
538458,39149,26618,1
538459,39149,21889,1
539011,39132,39161,1
539045,39186,39073,1
540993,39296,39259,1
541477,37945,2395,1
541644,39320,10674,1
541970,39357,12930,1
